ClientName,ProjectName,PinNumber
Maruti Suzuki,KBM Cylinder head part 2,IN/1003/2714
Maruti Suzuki,Maruti-Post assessment changes,IN/1003/1927
Maruti Suzuki,Maruti-Crankshaft line,IN/1003/1929
Maruti Suzuki,Maruti- CYU template change,IN/1003/1930
Maruti Suzuki,Maruti-Cylinder Blockline,IN/1003/1932
Maruti Suzuki,Press Shop,IN/1003/2035
Maruti Suzuki,Information Security,IN/1003/33789
Maruti Suzuki,3 Custom Soft Skill Courses June 2016,IN/1003/34194
Maruti Suzuki,2 Custom Soft Skill Courses June 2016,IN/1003/34221
Maruti Suzuki,Wiring Harness Basics,IN/1003/1960
Maruti Suzuki,Safety case study,IN/1003/1961
Maruti Suzuki,Forging Section - MPT,IN/1003/1963
Maruti Suzuki,Safety Casting Shop,IN/1003/2234
Maruti Suzuki, Safety Machine Shop and KBM,IN/1003/2236
Maruti Suzuki,Jig Maintenance,IN/1003/2495
Maruti Suzuki,Environment Regulation,IN/1003/2748
Maruti Suzuki,Maruti-Bumper,IN/1003/1928
Maruti Suzuki,Machine Shop 1,IN/1003/1933
Maruti Suzuki,Accessory 2,IN/1003/1955
Maruti Suzuki,Press Shop- Coiling Uncoiling,IN/1003/1956
Maruti Suzuki,Department Modules,IN/1003/1959
Maruti Suzuki,Heat Treatment - MPT,IN/1003/1962
Maruti Suzuki,Safety Press Shop,IN/1003/2233
Maruti Suzuki,Heat Treatment MPT,IN/1003/2265
Maruti Suzuki,Safety in the Confined Areas,IN/1003/2496
Maruti Suzuki,Approval for IPR module 2 & 3,IN/1003/2715
Maruti Suzuki,"MSIL - CNG system introduction, advantages over competitors and safe operating during service",IN/1003/33225
Maruti Suzuki,Code of Business Conduct and Ethics,IN/1003/33226
Maruti Suzuki,Mentoring Content,IN/1003/33227
Maruti Suzuki,Empowerment Content,IN/1003/33228
Maruti Suzuki,Being Accountable Content,IN/1003/33229
Maruti Suzuki,Win Win Approach,IN/1003/33230
Maruti Suzuki,Conflict Management,IN/1003/33231
Maruti Suzuki,Spaced Learning Project - PRISM & BASE,IN/1003/33356
Maruti Suzuki,Group Dynamics,IN/1003/33461
Maruti Suzuki,Communicating Feedback,IN/1003/33462
Maruti Suzuki,Service Manual & Parts Catalogue Reading,IN/1003/33587
Maruti Suzuki,"Business of Electrical, Multimeter, Battery",IN/1003/33588
Maruti Suzuki,Starting system content,IN/1003/33589
Maruti Suzuki,Charging system content,IN/1003/33590
Maruti Suzuki,MPFI content,IN/1003/33591
Maruti Suzuki,LPG-CNG system content,IN/1003/33592
Maruti Suzuki,Airbags content,IN/1003/33593
Maruti Suzuki,Clutch & Transmition content,IN/1003/33594
Maruti Suzuki,Steering system content,IN/1003/33595
Maruti Suzuki,7 Custom Soft Skill Courses,IN/1003/33707
Maruti Suzuki,Spaced Learning Phase 2 ,IN/1003/44397
Maruti Suzuki,COBCE Course,IN/1003/44480
Maruti Suzuki,E-ringi user guide,IN/1003/54723
Maruti Suzuki,6 Custom SoftSkill Courses Feb 2017,IN/1003/54976
Maruti Suzuki,Creativity and Innovation,IN/1003/54977
Maruti Suzuki,KBM-1,IN/1003/55014
Maruti Suzuki,Maruti-IPR,IN/1003/1931
Maruti Suzuki,Maruti-SoftSkill 2014,IN/1003/1934
UPES,Content Phase 1 Pilot - EVS e-Course,IN/1004/23060
IndusInd Bank,CR for SA advanced course,IN/1005/1004
Hindustan Coca-Cola Beverages Private Limited,LMS Video Tour,IN/1019/1536
JSPL,Values e-course,IN/1023/1023
JSPL,Code of Conduct e-course,IN/1023/1025
JSPL,CR for Values and Code of Conduct,IN/1023/1373
Maruti Suzuki ,Casting,IN/1061/1883
Maruti Suzuki ,Injuction Moulding,IN/1061/1884
Maruti Suzuki ,eModule development on QC Tool,IN/1061/1885
Maruti Suzuki ,Electrical Safety,IN/1061/1886
Maruti Suzuki ,Approval of development of additional e-Learning content -MX Assembly,IN/1061/1887
Maruti Suzuki ,Approval of development of additional e-Learning content - Energy Conservation,IN/1061/1888
Maruti Suzuki ,Approval of development of additional e-Learning content - Condition Monitoring,IN/1061/1890
Maruti Suzuki ,Quality Manual,IN/1061/1893
Maruti Suzuki ,Transmission Assy,IN/1061/1894
Maruti Suzuki ,Customer Value Soft Skill Course,IN/1061/1895
Maruti Suzuki ,Approval of development of additional e-Learning content - Preventive Maintenance,IN/1061/1889
Maruti Suzuki ,Service Training Module (Body Shop),IN/1061/1891
Maruti Suzuki ,Fast Tool Value Engineering,IN/1061/1892
Manipal Global Education Services Pvt. Ltd,Data Communication and Networking,IN/1092/1158
Ranbaxy,CR for Induction,IN/1093/2446
Ranbaxy,Global Induction,IN/1093/1159
Punjab National Bank,Content Production & Onsite Graphics Resources,IN/1126/33916
Punjab National Bank,Voiceover recording,IN/1126/34001
Maruti Driving School,E-Courses ,IN/1197/1710
Maruti Driving School,Hindi translation of Chintu and Gatimaan animation,IN/1197/33576
Maruti Driving School,Gatiman & Chintu Animation Project,IN/1197/22847
Maruti Driving School,CD to Assessment Engine Project,IN/1197/33185
Maruti Driving School,Localisation - Marathi & Punjabi,IN/1197/44395
Glenmark Pharmaceuticals Limited,OTS Courses,IN/1276/1848
ASAHI INDIA GLASS LTD.,Plant e-Courses,IN/1354/2232
ASAHI INDIA GLASS LTD.,Phase 3 Content Work,IN/1354/54929
ASAHI INDIA GLASS LTD.,Roorkee Plant Courses,IN/1354/33914
Forbes Marshall,Arca Valve,IN/1411/2536
McKinsey & Company,Graphics Resource for 1 Year,IN/21649/33828
Laureate Education,Logo updation work,IN/21682/33952
MoneyGram,IT Security and Privacy eCourses,US/1091/1155
MoneyGram,Security and Privacy courses localization,US/1091/1156
MoneyGram,Agents Training Development - Phase 1,US/1091/1739
MoneyGram,Agents Training - Compliance Modules Development,US/1091/1900
MoneyGram,5 Compaince Modules Development,US/1091/2435
MoneyGram,Compliance Fundamentals - HTML Conversion,US/1091/22980
Philips Healthcare,Project Relay - 17 Modules Development,US/1211/2268
Philips Healthcare,Intellispace - Radiology Analytics - 3 modules,US/1211/2472
Philips Healthcare,Relay - Onsite ID Placement,US/1211/2565
Philips Healthcare,Bulk Migration eLearn ing Development,US/1211/2759
Philips Healthcare,Canaveral Updates & New Development,US/1211/22984
Philips Healthcare,Intellispace Workshop ILT Development,US/1211/23034
Philips Healthcare,Intellispace Radiology Updates,US/1211/23043
Philips Healthcare,DoseWise Portal Training,US/1211/33348
Philips Healthcare,MOM Service eLearning Development,US/1211/33467
Audi of America,Creating A7 Fans - Course Development,US/1360/22862
Genpact,Accelerate Sales e-Course development,IN/1043/1349
Genpact,FMP e-Course Updates,IN/1043/1502
Genpact,Johnson Control ILT,IN/1043/1054
Genpact,2 GDs placement,IN/1043/1171
Genpact,Amazon Minitab application training,IN/1043/1596
Philips,Solution Selling Localization - Non SPI - Phase 1,NL/1012/1286
Philips,Sales Whiteboard Animation,NL/1012/1308
Philips,TEAM Tool Training Development,NL/1012/1421
Philips,Understanding LED Technology - Portuguese Brazilian Localization,NL/1012/1007
Philips,Understanding LED - German,NL/1012/1019
Philips,CC PTP - Video scripts PR - French,NL/1012/1021
Philips,Energy Management e-Course,NL/1012/1028
Philips,Salesforce PPT - Chinese Localization,NL/1012/1029
Philips,Control Fundamentals - Portuguese Localization,NL/1012/1164
Philips,VAPP Brochure and Plaques Designing,NL/1012/1206
Philips,LED Associate Assessment - Chinese,NL/1012/1224
Philips,Salesforce - French and Chinese,NL/1012/1235
Philips,Foresight PPT - French European,NL/1012/1282
Philips,Energy Management CR,NL/1012/1316
Philips,Solution Selling Localization - Phase 2,NL/1012/1359
Philips,Solution Selling Assessment - Dutch Localization,NL/1012/1374
Philips,CRM Localization - 3 languages,NL/1012/1401
Philips,Demo and Cartoon Videos localization,NL/1012/1427
Philips,Solution Selling - Extra Slide,NL/1012/1436
Philips,SST Phase 2 - Proof-reading & CR,NL/1012/1494
Philips,CRM Material Localization - 5 languages,NL/1012/1525
Philips,Cadence Program Localization,NL/1012/1528
Philips,SST Videos Localization,NL/1012/1562
Philips,Cartoon Videos - German & Japanese,NL/1012/1578
Philips,SST Phase 2 - Polish Localization,NL/1012/1588
Philips,Partner Community PPT - Chinese,NL/1012/1627
Philips,CRM German Localization,NL/1012/1660
Philips,Energy Management - Polish Localization,NL/1012/1684
Philips,B2C Localization - 8 languages,NL/1012/1692
Philips,Video Subtitling localization in 3 languages,NL/1012/1778
Philips,B2C eLearning & Video Localization,NL/1012/1791
Philips,Lighting Design Project - Basic Level,NL/1012/1792
Philips,B2C Coaching & Communication Package Localization,NL/1012/1824
Philips,French to English Localizations,NL/1012/1872
Philips,CRM R5 Delta Translations,NL/1012/1873
Philips,Philips Wordpress Site - Chinese translation,NL/1012/2027
Philips,Student Program - Chinese localization,NL/1012/2028
Philips,Student portal - Chinese translation,NL/1012/2029
Philips,B2B Additional Words Translations,NL/1012/2030
Philips,LED Associate Updates in 9 languages,NL/1012/2159
Philips,B2C Portuguese Localization,NL/1012/2257
Philips,System Intro - French Localization,NL/1012/2570
Philips,B2B C&C - 8 Languages,NL/1012/2684
Philips,Manager's Handbook - German Translation,NL/1012/2757
Philips,DSR- Chinese Translation,NL/1012/22829
Philips,Manager's Handbook - Japanese Translation,NL/1012/22894
Philips,Quiz Translation - Norwegian & Portuguese,NL/1012/22930
Philips,Manager's Handbook - Chinese Translation,NL/1012/22972
Philips,Account Management - 4 languages translation,NL/1012/33429
Philips,Account PPT Localization - 3 languages,NL/1012/33668
Ecovadis,CSR e-Course Phase 1 development and localization,FR/1096/1167
Ecovadis,CSR e-Course Phase 2 development and localization,FR/1096/1271
Illumina Interactive,PreSales Effort - Multiple projects,US/1010/33733
AchieveForum,BTUP eLearning Re-purposing,US/1039/44439
The LHT Group,Global Pre-sales PIN,US/1042/44595
PracticeIT,New Title - Effort Estimation,GB/1059/33735
Eagle Productivity,PreSales Effort - Multiple projects,US/1066/33799
Encompass World,Global - Presales PIN,US/1101/34117
American Urological Association ,PreSales  Effort - Multiple projects,US/1176/33814
Jones Lang Lasalle,PAN EMEA Service Development Programme,GB/1226/54659
Jones Lang Lasalle,System Training,GB/1226/33537
Jones Lang Lasalle,AgentsInsight eLearning Project,GB/1226/54678
Jones Lang Lasalle,PreSales  Effort - Multiple projects,GB/1226/34214
Idexx Laboratories,PreSales  Effort - Multiple projects,US/21571/33492
Stanford Health Care ,CI CARE Module,US/21610/33493
MDC,Benefit Bank Project - Tax Counselling,US/21611/33494
International Rescue Committee,R2P System - eLearning Module,US/21617/33711
International Rescue Committee,COMET Systems Training- 4 Modules,US/21617/33508
Novartis ,Collaborative Objective Setting Project,CH/21627/33545
Healthy Housing Solutions,RFP - eLearning Course Development and Revisions ,US/21637/33574
Inland Empire Health Plan,RFP -  Instructional Design Organizational Assessment,US/21652/33669
Prologis,Onboarding Module,US/21675/33819
Conference of State Bank Supervisors,Trust Examiner Training - 16 Modules,US/21701/33922
Muslim Advocates,3 Modules - Nonprofit Governance ,US/21717/33977
Fivel Systems Corporation,Windows 10 - Video Creation,CA/21733/34018
Dell,POC - Quality Course in Xyleme,GB/21789/34191
Al Ain Zoo,5 Modules - Tour Guides Onboarding Program,AE/31859/44381
Johnson and Johnson Company,Worksense eLearning Project,GB/31897/44527
Firmenich Inc,Rapid learning Content Development Project,US/41947/54660
Ingram Micro,ONE Ingram Project,US/41980/54791
Ingram Micro,Module 1 - Onboarding Invoices,US/41980/54799
Lodestone,RPO Technology,US/1006/1076
Lodestone,PPT Design Project,US/1006/1152
Lodestone,Change Managements,US/1006/1238
Illumina Interactive,EDC Portuguese Screenshot Replacement,US/1010/1399
Illumina Interactive,Solidworks Project,US/1010/2401
Illumina Interactive,CPC Anxiety Project,US/1010/1006
Illumina Interactive,EDC - Course re-purposing,US/1010/1163
Illumina Interactive,EDC - 5 Courses re-purposing,US/1010/1253
Illumina Interactive,Storyline Conversion - Nestle Project,US/1010/1285
Illumina Interactive,EDC - Mobile Testing Phase 1 Arabic Tablet Readiness,US/1010/1296
Illumina Interactive,Mobile Testing Phase 2 Additional Tablet Readiness work,US/1010/1375
Illumina Interactive,EDC - TU21 and TU22,US/1010/1376
Illumina Interactive,BSC QSB program revision,US/1010/1534
Illumina Interactive,CPC Anxiety Enhancement Project,US/1010/2307
Illumina Interactive,The Road Home Localization Project,US/1010/2540
Illumina Interactive,BSC Group Course Update project,US/1010/2783
Illumina Interactive,Tech Support 2015 Update,US/1010/33238
Illumina Interactive,508/WCAG accessibility to PDF documents ,US/1010/33239
Illumina Interactive,WHO Drupal CMS Project,US/1010/33297
Illumina Interactive,Solidworks - Localisation of 8 Modules,US/1010/33586
Illumina Interactive,BSC- Certificate Form Update,US/1010/33825
Illumina Interactive,JAWS Testing,US/1010/54869
Fifth P solutions,UK English VO Recording - Legal Agreements,CA/1021/1646
Fifth P solutions,UK English VO recording - IDO,CA/1021/1695
Fifth P solutions,UK English Audio,CA/1021/1505
Fifth P solutions,UK English VO,CA/1021/1017
Fifth P solutions,UK English VO,CA/1021/1018
Fifth P solutions,UK English VO Recording,CA/1021/1407
Cook Ross Inc,Unconscious Bias 2.0 ,US/1024/1033
Cook Ross Inc,CM - 2,US/1024/1317
Cook Ross Inc,2 VO re- recordings,US/1024/1390
Logical Operations,LearnTO HTML5 Player,US/1025/33379
Logical Operations,LearnTOs Batch 42,US/1029/2392
Logical Operations,LearnTOs Batch 48,US/1029/23066
Logical Operations,Batch 39- LearnTos,US/1029/2100
Logical Operations,LearnTos- Batch 40,US/1029/2187
Logical Operations,LearnTos- Batch 41,US/1029/2336
Logical Operations,LearnTOs Batch 44,US/1029/2637
Logical Operations,LearnTOs Batch 45,US/1029/22874
Logical Operations,LearnTos- Batch 46,US/1029/22965
Logical Operations,Batch 47- LearnTos,US/1029/23041
Logical Operations,Batch 49- LearnTos,US/1029/33181
Logical Operations,Batch 50- LearnTos,US/1029/33334
Logical Operations,Batch 51- LearnTos,US/1029/33440
Logical Operations,Batch 52- LearnTos,US/1029/33470
Logical Operations,Batch 53- LearnTos,US/1029/33509
Logical Operations,Batch 54- LearnTos,US/1029/33538
Logical Operations,Batch 55- LearnTos,US/1029/33601
Logical Operations,Batch 56- LearnTos,US/1029/33636
Logical Operations,Batch 57- LearnTos,US/1029/33704
Logical Operations,Batch 58- LearnTos,US/1029/33705
Logical Operations,5 LearnTos - Whitebranding Project,US/1029/33743
Logical Operations,Batch 59- LearnTos,US/1029/33778
Logical Operations,Batch 60- LearnTos,US/1029/33852
Logical Operations,Batch 61- LearnTos,US/1029/33853
Logical Operations,Batch 62- LearnTos,US/1029/33869
Logical Operations,Batch 63- LearnTos,US/1029/33871
Logical Operations,Batch 64- LearnTos,US/1029/33908
Logical Operations,Batch 65- LearnTos,US/1029/34005
Logical Operations,Batch 66- LearnTos,US/1029/34006
Logical Operations,Batch 67- LearnTos,US/1029/34104
Logical Operations,Batch 68- LearnTos,US/1029/34123
Logical Operations,Batch 69 - LearnTos,US/1029/34287
Logical Operations,Batch 70 - LearnTos,US/1029/44400
Logical Operations,Batch 71 - LearnTos,US/1029/44506
Logical Operations,Batch 72- LearnTos,US/1029/44571
Logical Operations,Batch 73- LearnTos,US/1029/54636
Logical Operations,Batch 74- LearnTos,US/1029/54679
AchieveForum,BTUP eLearning Re-purposing,US/1039/44538
The LHT Group,Review of DS CIA Course 1,US/1042/1050
The LHT Group,Commercial Sales Pricing Conversion Project,US/1042/1106
The LHT Group,IAPP Browser and Device Testing,US/1042/1396
The LHT Group,Johnson - HCBI-HCC Supply Chain Project,US/1042/1696
The LHT Group,Flash XML update,US/1042/33389
The LHT Group,J&J - IAPP Translation project,US/1042/1468
Eagle Productivity,Biogen - 5 Courses in Italian,US/1066/23083
Eagle Productivity,Biogen - 5 Courses in Soanish EU,US/1066/23084
Eagle Productivity,Biogen - 2 French Courses ,US/1066/23097
Eagle Productivity,Biogen - 5 Courses in German,US/1066/33142
Eagle Productivity,Biogen - Free Text French Course ,US/1066/33143
Eagle Productivity,Biogen - 6 Courses in Portuguese EU,US/1066/33144
Eagle Productivity,Voice-over Re-recording,US/1066/33371
Eagle Productivity,Biogen - 3 Courses in Japanese,US/1066/33373
Eagle Productivity,Biogen - IVA Course in Japanese,US/1066/33540
Eagle Productivity,Frech Canadian VO recording,US/1066/33607
Eagle Productivity,3 Simulations - Harris Leads and Opportunities course,US/1066/33826
Eagle Productivity,UK English VO recording - Pfizer,US/1066/33980
Eagle Productivity,US English VO re-recording,US/1066/34038
Eagle Productivity,Biogen Project,US/1066/54681
Eagle Productivity,EU Free Text Audio,US/1066/2753
Eagle Productivity,Veeva CRM General Overview,US/1066/2754
Eagle Productivity,Biogen CRM Overview,US/1066/2150
Eagle Productivity,QRV (Quick Reference Video) ,US/1066/2152
Eagle Productivity,Thoughtful Risks course,US/1066/2283
Eagle Productivity,Pfizer GCP course,US/1066/2305
Eagle Productivity,Pfizer - Opening Webcast course,US/1066/2322
Eagle Productivity,Merck Awareness - Flash to Storyline,US/1066/2456
Eagle Productivity,Pfizer -  2 Captivate courses ,US/1066/2575
Eagle Productivity,Merck course in Storyline,US/1066/2642
Eagle Productivity,Course 5 EU  Global Veeva IVA,US/1066/2764
Eagle Productivity,Celgene 1 Veeva Basics,US/1066/2786
Eagle Productivity,Celgene 2 Veeva CRM,US/1066/2787
Eagle Productivity,Celgene 3 CLM & HOC Triggered Email,US/1066/2788
Eagle Productivity,6 Captivate Courses,US/1066/22798
Eagle Productivity,Biogen 6 Courses- Polish Re-purposing,US/1066/22932
Eagle Productivity,Veeva CRM Overview for ABMs,US/1066/23029
Logical Operations,LO-Choice Sprint3 CR8-CR9,US/1069/1125
Logical Operations,Batch 43,US/1069/2530
Syberworks,Information Technology Usage and Security Policy,US/1075/1546
CMR Institute,Podcast Recording,US/1080/1122
Manhattan PREP,Animation Project,US/1081/1123
Encompass World,WFP Modules,US/1101/1725
Encompass World,USPTO -Module 1 and CM,US/1101/2058
Encompass World,Frech Translation - USAID,US/1101/2629
Encompass World,USPTO - Hiring Process,US/1101/2723
Encompass World,French Translation - USAID 2nd Document,US/1101/2725
Encompass World,French Translation - USAID 3rd Batch,US/1101/22832
Encompass World,DHS7 Sampling Manual Translation,US/1101/22838
Encompass World,DHS7 Sampling Manual Translation Complete,US/1101/22926
Encompass World,Spanish LA VO recording,US/1101/23003
Encompass World,Spanish LA VO recording,US/1101/23085
Encompass World,DHS Program Workshop French Translation,US/1101/33112
Encompass World,WFP Course Update,US/1101/33186
Encompass World,USAID -30 Minute Module,US/1101/33218
Encompass World,USPTO Status and Documents course ,US/1101/33528
Encompass World,Spanish LA Translation - 2 Documents,US/1101/33562
Encompass World,USAID - Spanish LA translation ,US/1101/33655
Encompass World,Survey Translation - 2 Languages,US/1101/33742
Encompass World,FAO Document Translation - 2 Languages,US/1101/33804
Encompass World,USAID -Module 1 Building Cultural Competence,US/1101/33835
Encompass World,USAID -Module 2 Managing Workforce Diversity,US/1101/33854
Encompass World,WFP 2016 Updates,US/1101/33867
Encompass World,USPTO - Changes to the 2 Modules,US/1101/33880
Encompass World,Survey Translation - Frecnh to English,US/1101/33906
Encompass World,Sampling Survey Module,US/1101/33943
Encompass World,Document Translation - French EU,US/1101/34054
Encompass World,DHS Sampling Document Translation & VO recording,US/1101/34126
Encompass World,F2F Training Material Translation in Portuguese EU,US/1101/34148
Encompass World,Supervisor Refresher Certification Course,US/1101/34176
Encompass World,USAID Module 3 - Employee and Labor Relations for Supervisors,US/1101/34270
Encompass World,French EU translation - 7 Documents,US/1101/34367
Encompass World,Good Clinical Practice for Pharmacists,US/1101/44459
Encompass World,DHS Document  Translation,US/1101/44495
Encompass World,WFP Programme- 2017 updates,US/1101/54812
Shadowbox Learning Services,Job 130923-1,CA/1104/1236
Shadowbox Learning Services,Job 131115-1,CA/1104/1358
Shadowbox Learning Services,5 Visio Videos,CA/1104/1467
BIS Training,Connect to a World of Safety Project,CA/1124/1290
Weejee Learning,Covance Project,US/1134/1860
Weejee Learning,Winning Proposals Course,US/1134/1434
Weejee Learning,Covance - Prototype,US/1134/1669
Weejee Learning,Davita Project,US/1134/1905
Weejee Learning,Genworth Project,US/1134/1764
Sissy Siero,Gredau Localisation,US/1140/1350
VIA Delivers,NICOM - Cheetah Medical,US/1151/1409
VIA Delivers,Walmart - Corporate Investigations Project ,US/1151/2134
VIA Delivers,GMIOG course ,US/1151/2241
VIA Delivers,Walmart Global Investigations - Localization for Case Governance (Portuguese),US/1151/2461
eLogic Learning,EDMC Code of Conduct Project,US/1152/1690
eLogic Learning,EDMC CoC Adjuncts,US/1152/1805
Illumina Interactive Inc.,HP LIFE - 2 Courses ,US/1170/33209
Illumina Interactive Inc.,HP LIFE - Course 21,US/1170/33401
American Urological Association ,APNPA - Stone Management,US/1176/2349
American Urological Association ,Clinical Problem Solving CPS Protocols,US/1176/33294
American Urological Association ,CPC Protocol - Phase 2,US/1176/33762
American Urological Association ,APNPA - Premature Ejaculation,US/1176/33884
American Urological Association ,CPS Protocol development Surgical Management of Stones,US/1176/44509
American Urological Association ,CPS Urethral Strictures,US/1176/54675
American Urological Association ,CPS Protocol Non-Muscle Invasive Bladder Cancer,US/1176/54732
American Urological Association ,ONC Update Course,US/1176/1726
American Urological Association ,Module Surgical Assistance,US/1176/2057
American Urological Association ,Spotlight on Male Sexual Dysfunction,US/1176/1806
American Urological Association ,Overactive Bladder,US/1176/1523
American Urological Association ,APNPA - Female Sexual Dysfucntion,US/1176/2602
ATS Training & Consulting  ,BenefitsÿTrainingÿ Modulesÿ(4ÿModules),US/1182/2103
ATS Training & Consulting  ,GTS Storyline Conversion,US/1182/2533
Information Mapping,Updates to Foundation course,BE/1243/1742
Examforce,CCNA Specialty Titles - 4,US/1273/34009
Examforce,Study Guides -  2 A plus Titles,US/1273/34292
Examforce,PMI-PMP 2015,US/1273/44387
Examforce,Cisco CCNA 100-105 Title,US/1273/44412
Examforce,Cisco CCNA 200-105 Title,US/1273/44413
Examforce,CCNA DC 640-911 Title,US/1273/44471
Examforce,CCNA DC 640-916 Title,US/1273/44472
Examforce,Review and Upgradation of 3 Titles,US/1273/54664
Examforce,Study Guide -  70-697,US/1273/54676
Examforce,Analysis for 70-463,US/1273/54767
Examforce,Microsoft 70-698,US/1273/54770
Examforce,"3 titles- Microsoft 70-341, 70-342 and LPI Linux",US/1273/1919
Examforce,"3 Titles- Microsoft 70-346, Microsoft 70-347 and CompTIA IT Fundamentals ",US/1273/2180
Examforce,CISCO 642-832 & 640-461  - 2 Titles,US/1273/2354
Examforce,VMware VCA6-DCV Fundamentals,US/1273/23087
Examforce,VMware 2V0-620,US/1273/33127
Examforce,VMware 2V0-621,US/1273/33128
Examforce,CEH Title,US/1273/33189
Examforce,Linux 103 and 104 Titles,US/1273/33296
Examforce,Re-Mapping CEH QAE's,US/1273/33451
Examforce,CompTIA Server SK0-004,US/1273/33453
Examforce,CEH Title - Fill in Order,US/1273/33548
Examforce,A Series - 2 Titles,US/1273/33688
Examforce,CISSP 2015,US/1273/33702
Examforce,ISACA CISA Title,US/1273/33763
Examforce,Microsoft 70-410 ,US/1273/33864
Examforce,Microsoft 70-697 ,US/1273/33865
Examforce,CCNA CCP Project,US/1273/2426
Examforce,CompTIA Network N10-006,US/1273/2732
Examforce,CompTIA CASP CAS-002,US/1273/22831
Tribridge,Big5 course conversion,US/1297/2024
Antidote Education Company,Face to Face Courses,US/1334/2181
Nielsen,Insight Studio Project,US/1357/2421
Childrens Health Texas,Project 2- Fix corrupt Epic training for Nurse Student CBT,US/1418/2587
Childrens Health Texas,Project 1 - Resources CBT ,US/1418/2588
Childrens Health Texas,Patient Safety Handbook Branding Update ,US/1418/22908
Childrens Health Texas,Captivate Gaming Project,US/1418/22913
The National Center for Healthy Housing,EPA- ASTHMA,US/1443/12797
"PHYSICIAN RESOURCE MANAGEMENT, INC",PRM Content,US/11466/22865
"CBRE, Inc",Ethics and Compliance Module,US/11477/23014
"CBRE, Inc",Change Request - Complaince & Ethics Module,US/11477/33931
IAPP,IAPP Privacy Core (Project Overview),US/11478/22937
National Center for State Courts ,Idaho Courthouse Design Course,US/11526/33130
National Center for State Courts ,Audio Rerecording,US/11526/33512
Idexx Laboratories,Sales Manual Translation - Japanese,US/21571/33638
Idexx Laboratories,IDEXX Japan - LV4C localisation project,US/21571/33639
Idexx Laboratories,LV4C Korean Localisation Project,US/21571/33661
Idexx Laboratories,US English - VO Recordig,US/21571/34019
Idexx Laboratories,Corona - FIP Project,US/21571/34146
Idexx Laboratories,Audio Recording - US English Urine Sampling,US/21571/34190
Idexx Laboratories,Minimum Database Localisation Phase 1,US/21571/44485
Idexx Laboratories,Audio Recording,US/21571/54638
Idexx Laboratories,CBC Module,US/21571/54731
Idexx Laboratories,Complete Urinalysis course,US/21571/54750
Idexx Laboratories,Audio Recording - 2 scripts,US/21571/54844
Idexx Laboratories,CRP Course - Localisation Project,US/21571/54994
Idexx Laboratories,Kidney Diagnostics Project,US/21571/33404
Idexx Laboratories,Video to Storyline Conversion & Localisation,US/21571/33507
Idexx Laboratories,LV4C Localisation Project,US/21571/33585
Idexx Laboratories,MDB Project,US/21571/33727
International Rescue Committee,COMET Systems Training- 4 Modules,US/21617/33529
Prologis,Onboarding Module,US/21675/33889
International Organization for Migration,IOM Induction Program,CH/21758/54850
QIAGEN,Compliance Course,DE/41941/54703
Firmenich Inc,ODC - 2 Full time Resources,US/41947/54707
Ingram Micro,15 Microlearning Modules,US/41980/54913
PracticeIT,New Paractice Labs - 2013,GB/1059/1083
PracticeIT,Practice Labs 2 Topics,GB/1059/1120
PracticeIT,Lab upgradation Project,GB/1059/1611
PracticeIT,Practice IT- lab 70- 415,GB/1059/1701
PracticeIT,Title - 98-379,GB/1059/33600
PracticeIT,Microsoft Titles 70-346 and 70-694 ,GB/1059/33937
PracticeIT,Lab 70-698,GB/1059/44461
PracticeIT,Lab 70-761,GB/1059/44486
PracticeIT,Lab 70-762,GB/1059/44496
PracticeIT,70-764 Lab ,GB/1059/54934
PracticeIT,98-361 Exam ,GB/1059/22834
PracticeIT,HTML5 Application Development Fundamentals - 98-375,GB/1059/23082
PracticeIT,Practice Labs- 70-467 Lab ,GB/1059/23091
PracticeIT,Practice Labs- 70-243 Lab ,GB/1059/33110
Jones Lang Lasalle,Sustainability - Module 1&2,GB/1226/1759
Jones Lang Lasalle,Module 3 - Sustainability,GB/1226/2580
Jones Lang Lasalle,Changes to Module 1& 2,GB/1226/2766
Jones Lang Lasalle,Chnages to all 3 Modules,GB/1226/33210
Jones Lang Lasalle,Health and Safety Awareness Module,GB/1226/33336
Jones Lang Lasalle,Compliance eLearning,GB/1226/33337
Jones Lang Lasalle,C&S eLearning Module,GB/1226/33612
Jones Lang Lasalle,Agents Insight Training project,GB/1226/54755
Jones Lang Lasalle,Lighter Version - BPMC course,GB/1226/33687
Jones Lang Lasalle,The Inspection Tool Training Videos ,GB/1226/34178
Jones Lang Lasalle,The Inspection Tool Training Videos - Batch 2,GB/1226/44537
Jones Lang Lasalle,Sustainability Courses - Updates,GB/1226/54667
ZS Associates,New to me,IN/1040/1048
ZS Associates,CM - Scratch Audio (2 courses),IN/1040/1262
Shadowbox Learning Services,CCAA Course - Brazilian Portuguese ,CA/1104/33154
Shadowbox Learning Services,Toolbox Challenge Game Project,CA/1104/33113
Shadowbox Learning Services,Job 150928-1,CA/1104/33527
Shadowbox Learning Services,Job 151027-1,CA/1104/33556
Shadowbox Learning Services,Job Quote 160213-1,CA/1104/33833
Shadowbox Learning Services,Job- 161207,CA/1104/54753
Shadowbox Learning Services,Job 170105,CA/1104/54835
Shadowbox Learning Services,Job 170120,CA/1104/54894
Shadowbox Learning Services,Job 170119,CA/1104/54925
